# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	11813	12730	+							DKM44_00060	918		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	11813	12730	+	AWN24377.1			dihydrouridine synthase			DKM44_00060	918	305	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	12781	13344	+							DKM44_00065	564		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	12781	13344	+	AWN21825.1			damage-inducible protein DinB			DKM44_00065	564	187	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	13426	14121	+							DKM44_00070	696		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	13426	14121	+	AWN21826.1			guanylate kinase			DKM44_00070	696	231	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	14148	15101	+							DKM44_00075	954		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	14148	15101	+	AWN21827.1			NAD-dependent epimerase			DKM44_00075	954	317	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	15108	15890	-							DKM44_00080	783		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	15108	15890	-	AWN21828.1			NADH-specific enoyl-ACP reductase			DKM44_00080	783	260	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	16050	16958	+							DKM44_00085	909		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	16050	16958	+	AWN24378.1			AAA family ATPase			DKM44_00085	909	302	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	17083	17628	+							DKM44_00090	546		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	17083	17628	+	AWN21829.1			hypothetical protein			DKM44_00090	546	181	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	17672	18697	+							DKM44_00095	1026		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	17672	18697	+	AWN21830.1			hypothetical protein			DKM44_00095	1026	341	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	18694	20712	+							DKM44_00100	2019		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	18694	20712	+	AWN21831.1			DUF3488 domain-containing protein			DKM44_00100	2019	672	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	20709	21356	+					mqnB		DKM44_00105	648		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	20709	21356	+	AWN21832.1			futalosine hydrolase	mqnB		DKM44_00105	648	215	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	21353	23860	-							DKM44_00110	2508		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	21353	23860	-	AWN21833.1			heavy metal translocating P-type ATPase			DKM44_00110	2508	835	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	23970	24179	+							DKM44_00115	210		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	23970	24179	+	AWN21834.1			heavy metal transport/detoxification protein			DKM44_00115	210	69	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	24197	24496	+							DKM44_00120	300		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	24197	24496	+	AWN21835.1			hypothetical protein			DKM44_00120	300	99	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	24506	24958	+							DKM44_00125	453		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	24506	24958	+	AWN21836.1			DUF305 domain-containing protein			DKM44_00125	453	150	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	24969	25703	-							DKM44_00130	735		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	24969	25703	-	AWN21837.1			endonuclease III			DKM44_00130	735	244	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	25714	25938	-							DKM44_00135	225		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	25714	25938	-	AWN21838.1			hypothetical protein			DKM44_00135	225	74	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	26053	28032	-					tkt		DKM44_00140	1980		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	26053	28032	-	AWN21839.1			transketolase	tkt		DKM44_00140	1980	659	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	28249	29760	-							DKM44_00145	1512		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	28249	29760	-	AWN21840.1			tripartite tricarboxylate transporter TctA			DKM44_00145	1512	503	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	29760	30278	-							DKM44_00150	519		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	29760	30278	-	AWN21841.1			hypothetical protein			DKM44_00150	519	172	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	30376	31335	-							DKM44_00155	960		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	30376	31335	-	AWN21842.1			C4-dicarboxylate ABC transporter substrate-binding protein			DKM44_00155	960	319	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	31567	33162	+							DKM44_00160	1596		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	31567	33162	+	AWN21843.1			sensor histidine kinase			DKM44_00160	1596	531	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	33168	33845	+							DKM44_00165	678		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	33168	33845	+	AWN21844.1			histidine kinase			DKM44_00165	678	225	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	34187	34483	-							DKM44_00170	297		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	34187	34483	-	AWN21845.1			hypothetical protein			DKM44_00170	297	98	
gene	pseudogene	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	34536	34789	-							DKM44_00175	254		pseudo
CDS	without_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	34536	34789	-				hypothetical protein			DKM44_00175	254		pseudo
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	35087	35362	+							DKM44_00180	276		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	35087	35362	+	AWN21846.1			hypothetical protein			DKM44_00180	276	91	
gene	rRNA	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	35735	37239	+							DKM44_00185	1505		
rRNA		GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	35735	37239	+				16S ribosomal RNA			DKM44_00185	1505		
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	37391	38035	-							DKM44_00190	645		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	37391	38035	-	AWN21847.1			cyclase			DKM44_00190	645	214	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	38140	38424	-							DKM44_00195	285		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	38140	38424	-	AWN21848.1			hypothetical protein			DKM44_00195	285	94	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	38520	39434	+							DKM44_00200	915		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	38520	39434	+	AWN21849.1			EamA family transporter			DKM44_00200	915	304	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	39431	40927	+							DKM44_00205	1497		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	39431	40927	+	AWN21850.1			ABC transporter ATP-binding protein			DKM44_00205	1497	498	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	41004	41408	-							DKM44_00210	405		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	41004	41408	-	AWN21851.1			hypothetical protein			DKM44_00210	405	134	
gene	tRNA	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	41708	41792	+							DKM44_00215	85		
tRNA		GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	41708	41792	+				tRNA-Leu			DKM44_00215	85		anticodon=TAA
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	41804	42661	-							DKM44_00220	858		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	41804	42661	-	AWN21852.1			tRNA pseudouridine(38-40) synthase TruA			DKM44_00220	858	285	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	42690	43589	+							DKM44_00225	900		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	42690	43589	+	AWN21853.1			peptidase M23			DKM44_00225	900	299	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	43717	44481	+							DKM44_00230	765		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	43717	44481	+	AWN21854.1			lipoyl(octanoyl) transferase			DKM44_00230	765	254	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	44478	45500	+					lipA		DKM44_00235	1023		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	44478	45500	+	AWN21855.1			lipoyl synthase	lipA		DKM44_00235	1023	340	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	45580	45996	+							DKM44_00240	417		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	45580	45996	+	AWN21856.1			hypothetical protein			DKM44_00240	417	138	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	46078	46311	+							DKM44_00245	234		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	46078	46311	+	AWN21857.1			hypothetical protein			DKM44_00245	234	77	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	46304	47182	+					rsmI		DKM44_00250	879		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	46304	47182	+	AWN21858.1			16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		DKM44_00250	879	292	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	47179	48162	+					pfkA		DKM44_00255	984		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	47179	48162	+	AWN21859.1			6-phosphofructokinase	pfkA		DKM44_00255	984	327	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	48235	49404	+							DKM44_00260	1170		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	48235	49404	+	AWN21860.1			molybdopterin molybdenumtransferase MoeA			DKM44_00260	1170	389	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	49423	50181	-							DKM44_00265	759		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	49423	50181	-	AWN21861.1			dehydrogenase			DKM44_00265	759	252	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	50264	50953	+							DKM44_00270	690		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	50264	50953	+	AWN21862.1			N-acetylmannosamine-6-phosphate 2-epimerase			DKM44_00270	690	229	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	51050	52282	+							DKM44_00275	1233		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	51050	52282	+	AWN21863.1			sugar ABC transporter substrate-binding protein			DKM44_00275	1233	410	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	52284	54317	+							DKM44_00280	2034		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	52284	54317	+	AWN21864.1			glycoside hydrolase			DKM44_00280	2034	677	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	54449	55282	+							DKM44_00285	834		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	54449	55282	+	AWN24379.1			lactose ABC transporter permease			DKM44_00285	834	277	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	55345	56187	+							DKM44_00290	843		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	55345	56187	+	AWN24380.1			carbohydrate ABC transporter permease			DKM44_00290	843	280	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	56184	57557	+							DKM44_00295	1374		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	56184	57557	+	AWN21865.1			FAD-binding dehydrogenase			DKM44_00295	1374	457	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	57641	58417	+							DKM44_00300	777		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	57641	58417	+	AWN21866.1			hydrolase			DKM44_00300	777	258	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	58390	59907	+							DKM44_00305	1518		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	58390	59907	+	AWN21867.1			hypothetical protein			DKM44_00305	1518	505	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	59968	60912	+							DKM44_00310	945		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	59968	60912	+	AWN21868.1			hypothetical protein			DKM44_00310	945	314	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	60916	62214	-							DKM44_00315	1299		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	60916	62214	-	AWN21869.1			hypothetical protein			DKM44_00315	1299	432	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	62211	62768	-							DKM44_00320	558		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	62211	62768	-	AWN21870.1			M23 family peptidase			DKM44_00320	558	185	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	62838	64091	-							DKM44_00325	1254		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	62838	64091	-	AWN21871.1			sodium:proton antiporter			DKM44_00325	1254	417	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	64151	65083	+							DKM44_00330	933		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	64151	65083	+	AWN21872.1			proline iminopeptidase			DKM44_00330	933	310	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	65151	66251	-							DKM44_00335	1101		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	65151	66251	-	AWN21873.1			redox-regulated ATPase YchF			DKM44_00335	1101	366	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	66488	66895	+							DKM44_00340	408		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	66488	66895	+	AWN21874.1			hypothetical protein			DKM44_00340	408	135	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	66895	67635	+							DKM44_00345	741		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	66895	67635	+	AWN21875.1			cyclase			DKM44_00345	741	246	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	67632	68834	+							DKM44_00350	1203		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	67632	68834	+	AWN21876.1			glutathione-dependent formaldehyde dehydrogenase			DKM44_00350	1203	400	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	68970	69242	-							DKM44_00355	273		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	68970	69242	-	AWN21877.1			hypothetical protein			DKM44_00355	273	90	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	69433	69834	+							DKM44_00360	402		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	69433	69834	+	AWN21878.1			hypothetical protein			DKM44_00360	402	133	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	69865	70203	-							DKM44_00365	339		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	69865	70203	-	AWN21879.1			hypothetical protein			DKM44_00365	339	112	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	70397	70921	+							DKM44_00370	525		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	70397	70921	+	AWN21880.1			hypothetical protein			DKM44_00370	525	174	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	71229	73301	-							DKM44_00375	2073		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	71229	73301	-	AWN21881.1			serine protease			DKM44_00375	2073	690	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	73396	73968	+							DKM44_00380	573		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	73396	73968	+	AWN21882.1			hydrolase			DKM44_00380	573	190	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	74027	74665	+							DKM44_00385	639		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	74027	74665	+	AWN21883.1			hypothetical protein			DKM44_00385	639	212	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	74671	75225	-							DKM44_00390	555		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	74671	75225	-	AWN21884.1			oligoketide cyclase			DKM44_00390	555	184	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	75233	75796	-							DKM44_00395	564		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	75233	75796	-	AWN21885.1			hypothetical protein			DKM44_00395	564	187	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	75832	76788	-							DKM44_00400	957		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	75832	76788	-	AWN21886.1			acetyl-CoA carboxylase carboxyl transferase subunit alpha			DKM44_00400	957	318	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	76785	77642	-							DKM44_00405	858		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	76785	77642	-	AWN21887.1			acetyl-CoA carboxylase carboxyl transferase subunit beta			DKM44_00405	858	285	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	77741	78187	-							DKM44_00410	447		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	77741	78187	-	AWN21888.1			hypothetical protein			DKM44_00410	447	148	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	78249	78851	-							DKM44_00415	603		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	78249	78851	-	AWN21889.1			DNA-binding response regulator			DKM44_00415	603	200	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	78848	80020	-							DKM44_00420	1173		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	78848	80020	-	AWN21890.1			sensor histidine kinase			DKM44_00420	1173	390	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	80041	80835	-							DKM44_00425	795		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	80041	80835	-	AWN21891.1			ABC transporter permease			DKM44_00425	795	264	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	80832	81326	-							DKM44_00430	495		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	80832	81326	-	AWN24381.1			hypothetical protein			DKM44_00430	495	164	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	81386	82279	-							DKM44_00435	894		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	81386	82279	-	AWN21892.1			ABC transporter ATP-binding protein			DKM44_00435	894	297	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	82416	83024	+							DKM44_00440	609		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	82416	83024	+	AWN21893.1			single-stranded DNA-binding protein			DKM44_00440	609	202	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	83032	83793	+							DKM44_00445	762		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	83032	83793	+	AWN24382.1			metallophosphoesterase			DKM44_00445	762	253	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	83867	85750	+							DKM44_00450	1884		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	83867	85750	+	AWN21894.1			tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG			DKM44_00450	1884	627	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	85867	86649	+							DKM44_00455	783		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	85867	86649	+	AWN24383.1			16S rRNA (guanine(527)-N(7))-methyltransferase RsmG			DKM44_00455	783	260	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	86646	87395	+							DKM44_00460	750		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	86646	87395	+	AWN21895.1			chromosome partitioning protein			DKM44_00460	750	249	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	87379	88230	+							DKM44_00465	852		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	87379	88230	+	AWN21896.1			chromosome partitioning protein ParB			DKM44_00465	852	283	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	88301	89653	-							DKM44_00470	1353		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	88301	89653	-	AWN21897.1			hypothetical protein			DKM44_00470	1353	450	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	89775	91430	-							DKM44_00475	1656		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	89775	91430	-	AWN21898.1			RNase J family beta-CASP ribonuclease			DKM44_00475	1656	551	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	91703	92368	+							DKM44_00480	666		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	91703	92368	+	AWN21899.1			DNA-binding response regulator			DKM44_00480	666	221	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	92552	92983	+							DKM44_00485	432		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	92552	92983	+	AWN21900.1			hypothetical protein			DKM44_00485	432	143	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	93060	93470	+							DKM44_00490	411		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	93060	93470	+	AWN21901.1			transcriptional repressor			DKM44_00490	411	136	
gene	protein_coding	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	93488	94156	-							DKM44_00495	669		
CDS	with_protein	GCA_003173015.1	Primary Assembly	chromosome		CP029494.1	93488	94156	-	AWN21902.1			DNA-binding response regulator			DKM44_00495	669	222	
