,# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,product_accession,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
29,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,14060,15286,+,,,,,,,SY84_00080,1227,,
31,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,15478,16260,-,,,,,,,SY84_00085,783,,
33,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,16442,17410,+,,,,,,,SY84_00090,969,,
35,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,17681,19783,+,,,,,,,SY84_00095,2103,,
37,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,19929,20711,-,,,,,,,SY84_00100,783,,
39,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,20898,21947,+,,,,,,,SY84_00105,1050,,
41,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,21951,22772,-,,,,transposase,,,SY84_00110,822,,pseudo
42,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,22861,23079,-,,,,,,,SY84_00115,219,,
44,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,23381,23602,+,,,,,,,SY84_00120,222,,
46,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,23945,24475,-,,,,,,,SY84_00125,531,,
48,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,24664,25824,+,,,,,,,SY84_00130,1161,,
50,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,25867,26283,+,,,,,,,SY84_00135,417,,
52,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,26234,27283,-,,,,,,,SY84_00140,1050,,
54,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,27514,27825,+,,,,hypothetical protein,,,SY84_00145,312,,pseudo
55,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,28024,29301,+,,,,,,,SY84_00150,1278,,
57,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,29345,30778,+,,,,,,,SY84_00155,1434,,
59,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,30863,31504,+,,,,,,,SY84_00160,642,,
61,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,31615,33489,+,,,,,cpdB,,SY84_00165,1875,,
63,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,33907,35166,+,,,,,,,SY84_00170,1260,,
65,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,35305,36234,+,,,,,,,SY84_00175,930,,
67,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,36245,37096,+,,,,,,,SY84_00180,852,,
69,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,37202,38572,-,,,,,,,SY84_00185,1371,,
71,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,38697,39113,-,,,,,,,SY84_00190,417,,
73,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,39134,40894,-,,,,,,,SY84_00195,1761,,
75,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,40891,41376,-,,,,,,,SY84_00200,486,,
77,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,41389,41742,-,,,,,,,SY84_00205,354,,
79,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,41754,42833,-,,,,,,,SY84_00210,1080,,
81,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,43015,44298,-,,,,,,,SY84_00215,1284,,
83,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,45611,46186,-,,,,,,,SY84_00220,576,,
85,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,46327,47403,+,,,,,,,SY84_00225,1077,,
87,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,47456,47875,-,,,,,,,SY84_00230,420,,
89,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,48099,48833,+,,,,,,,SY84_00235,735,,
91,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,48847,49560,-,,,,,,,SY84_00240,714,,
93,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,49557,50369,-,,,,,,,SY84_00245,813,,
95,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,50579,51370,+,,,,,,,SY84_00250,792,,
97,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,51448,53004,-,,,,,,,SY84_00255,1557,,
99,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,53195,53869,-,,,,,,,SY84_00260,675,,
101,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,53979,54731,+,,,,,,,SY84_00265,753,,
103,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,54819,56771,-,,,,,,,SY84_00270,1953,,
105,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,56891,57415,-,,,,,,,SY84_00275,525,,
107,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,57424,58152,-,,,,,,,SY84_00280,729,,
109,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,58203,58784,-,,,,,,,SY84_00285,582,,
111,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,58821,59498,-,,,,,,,SY84_00290,678,,
113,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,59723,60208,+,,,,,,,SY84_00295,486,,
115,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,60237,60707,+,,,,,,,SY84_00300,471,,
117,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,60747,61166,+,,,,,,,SY84_00305,420,,
119,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,61214,61540,+,,,,,,,SY84_00310,327,,
121,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,61595,62539,+,,,,,,,SY84_00315,945,,
123,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,62539,65433,+,,,,,,,SY84_00320,2895,,
125,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,65453,65947,+,,,,,,,SY84_00325,495,,
127,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,65952,66365,+,,,,,,,SY84_00330,414,,
129,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,66373,66672,+,,,,,,,SY84_00335,300,,
131,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,66866,67480,-,,,,,,,SY84_00340,615,,
133,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,67523,67981,+,,,,,,,SY84_00345,459,,
135,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,68045,68893,+,,,,,,,SY84_00350,849,,
137,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,68890,69534,+,,,,,,,SY84_00355,645,,
139,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,69572,71059,-,,,,,,,SY84_00360,1488,,
141,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,71188,71799,-,,,,,,,SY84_00365,612,,
143,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,71961,72770,+,,,,,,,SY84_00370,810,,
145,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,72815,73549,+,,,,,,,SY84_00375,735,,
147,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,73605,74336,+,,,,,,,SY84_00380,732,,
149,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,74337,75008,-,,,,,,,SY84_00385,672,,
151,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,75049,76257,-,,,,,,,SY84_00390,1209,,
153,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,76441,77682,-,,,,,,,SY84_00395,1242,,
155,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,78259,79440,+,,,,,,,SY84_00400,1182,,
157,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,79720,81117,+,,,,,,,SY84_00405,1398,,
159,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,81114,82484,+,,,,,,,SY84_00410,1371,,
161,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,82526,83218,+,,,,,,,SY84_00415,693,,
163,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,83280,84938,-,,,,,,,SY84_00420,1659,,
165,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,85039,86307,-,,,,,,,SY84_00425,1269,,
167,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,86571,87269,-,,,,,,,SY84_00430,699,,
169,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,87305,89407,-,,,,,,,SY84_00435,2103,,
171,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,89432,89704,-,,,,,,,SY84_00440,273,,
173,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,89954,91159,+,,,,,,,SY84_00445,1206,,
175,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,91218,92018,-,,,,,,,SY84_00450,801,,
177,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,92223,92447,+,,,,,,,SY84_00455,225,,
179,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,92579,93709,-,,,,,,,SY84_00460,1131,,
181,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,93706,94851,-,,,,,,,SY84_00465,1146,,
183,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,95914,96243,-,,,,hypothetical protein,,,SY84_00470,330,,pseudo
184,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,96876,98117,-,,,,,glgC,,SY84_00475,1242,,
186,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,98250,99158,-,,,,,,,SY84_00480,909,,
188,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,99229,99618,+,,,,,,,SY84_00485,390,,
190,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,99678,100484,-,,,,,,,SY84_00490,807,,
192,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,100611,101900,+,,,,,,,SY84_00495,1290,,
194,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,102038,103819,+,,,,,,,SY84_00500,1782,,
196,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,103942,104469,+,,,,,,,SY84_00505,528,,
198,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,104472,105233,-,,,,,,,SY84_00510,762,,
200,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,105401,105913,+,,,,,,,SY84_00515,513,,
202,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,105945,107978,-,,,,,,,SY84_00520,2034,,
204,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,108049,109287,-,,,,,,,SY84_00525,1239,,
206,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,109427,110113,-,,,,,,,SY84_00530,687,,
208,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,110423,111856,+,,,,,,,SY84_00535,1434,,
210,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,112021,112791,-,,,,,,,SY84_00540,771,,
212,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,113098,113997,-,,,,,,,SY84_00545,900,,
214,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,114391,115617,+,,,,,,,SY84_00550,1227,,
216,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,115617,116198,+,,,,,,,SY84_00555,582,,
218,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,116317,117189,-,,,,,,,SY84_00560,873,,
220,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,117186,118070,-,,,,,,,SY84_00565,885,,
222,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,118145,118972,-,,,,,,,SY84_00570,828,,
224,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,119210,119806,-,,,,,,,SY84_00575,597,,
226,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,119879,122644,+,,,,,,,SY84_00580,2766,,
228,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,122703,123947,-,,,,,,,SY84_00585,1245,,
230,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,123986,124741,-,,,,,,,SY84_00590,756,,
232,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,124738,125328,-,,,,,,,SY84_00595,591,,
234,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,125372,125734,-,,,,,,,SY84_00600,363,,
236,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,125789,127300,-,,,,,,,SY84_00605,1512,,
238,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,127389,128357,-,,,,,,,SY84_00610,969,,
240,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,128464,129237,-,,,,,,,SY84_00615,774,,
242,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,129234,129758,-,,,,,,,SY84_00620,525,,
244,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,129785,130501,-,,,,,,,SY84_00625,717,,
246,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,130614,131630,+,,,,,,,SY84_00630,1017,,
248,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,131638,132477,+,,,,,,,SY84_00635,840,,
250,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,132529,133152,+,,,,,upp,,SY84_00640,624,,
252,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,133372,134925,+,,,,,,,SY84_00645,1554,,
254,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,135020,135316,+,,,,,,,SY84_00650,297,,
256,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,135470,136042,-,,,,,,,SY84_00655,573,,
258,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,136096,137136,-,,,,,,,SY84_00660,1041,,
260,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,137232,137612,+,,,,,,,SY84_00665,381,,
262,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,137603,138109,-,,,,,,,SY84_00670,507,,
264,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,138106,139131,-,,,,,,,SY84_00675,1026,,
266,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,139116,140105,+,,,,,,,SY84_00680,990,,
268,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,140214,141812,+,,,,,,,SY84_00685,1599,,
270,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,141926,142480,+,,,,,,,SY84_00690,555,,
272,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,142484,142936,-,,,,,,,SY84_00695,453,,
274,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,142924,143487,-,,,,,,,SY84_00700,564,,
276,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,143538,144401,+,,,,,,,SY84_00705,864,,
278,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,144423,144890,+,,,,,,,SY84_00710,468,,
280,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,145015,146130,+,,,,,,,SY84_00715,1116,,
282,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,146195,146485,-,,,,,,,SY84_00720,291,,
284,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,146521,148095,-,,,,,,,SY84_00725,1575,,
286,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,148431,148715,+,,,,,,,SY84_00730,285,,
288,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,148859,149542,+,,,,,,,SY84_00735,684,,
290,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,149732,150082,-,,,,,,,SY84_00740,351,,
292,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,150082,150408,-,,,,,,,SY84_00745,327,,
294,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,150457,150741,+,,,,,,,SY84_00750,285,,
296,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,150788,152248,+,,,,,,,SY84_00755,1461,,
298,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,152323,153210,+,,,,,,,SY84_00760,888,,
300,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,153259,155529,+,,,,,,,SY84_00765,2271,,
302,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,155639,156772,-,,,,,,,SY84_00770,1134,,
304,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,157101,158450,-,,,,hypothetical protein,,,SY84_00775,1350,,pseudo
305,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,158480,159382,-,,,,,,,SY84_00780,903,,
307,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,159373,160173,-,,,,,,,SY84_00785,801,,
309,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,160301,160969,-,,,,,,,SY84_00790,669,,
311,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,161194,162294,-,,,,,,,SY84_00795,1101,,
313,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,162358,163464,-,,,,,,,SY84_00800,1107,,
315,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,163564,164313,+,,,,,,,SY84_00805,750,,
317,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,164288,164686,-,,,,,,,SY84_00810,399,,
319,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,164729,165232,-,,,,,,,SY84_00815,504,,
321,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,165237,166031,-,,,,,,,SY84_00820,795,,
323,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,166086,166988,-,,,,,,,SY84_00825,903,,
325,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,167094,167966,-,,,,,,,SY84_00830,873,,
327,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,168458,169291,-,,,,,,,SY84_00835,834,,
329,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,169368,170237,-,,,,,,,SY84_00840,870,,
331,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,170307,171719,+,,,,,,,SY84_00845,1413,,
333,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,171772,172392,-,,,,,,,SY84_00850,621,,
335,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,172494,172898,+,,,,,,,SY84_00855,405,,
337,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,173151,173969,-,,,,,,,SY84_00860,819,,
339,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,174059,174280,+,,,,,,,SY84_00865,222,,
341,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,174235,174456,-,,,,,,,SY84_00870,222,,
343,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,174592,175200,+,,,,,,,SY84_00875,609,,
345,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,175203,175445,+,,,,,,,SY84_00880,243,,
347,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,175541,175843,+,,,,hypothetical protein,,,SY84_00885,303,,pseudo
348,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,175993,176847,+,,,,,,,SY84_00890,855,,
350,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,176901,178172,+,,,,,,,SY84_00895,1272,,
352,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,178169,178981,+,,,,,,,SY84_00900,813,,
354,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,179010,179735,-,,,,,,,SY84_00905,726,,
356,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,180159,182009,-,,,,,,,SY84_00910,1851,,
358,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,182634,183377,+,,,,,,,SY84_00915,744,,
360,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,183374,184120,+,,,,,,,SY84_00920,747,,
362,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,184274,186010,-,,,,,,,SY84_00925,1737,,
364,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,186007,187302,-,,,,,,,SY84_00930,1296,,
366,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,187449,187820,-,,,,,,,SY84_00935,372,,
368,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,187856,188806,+,,,,,,,SY84_00940,951,,
370,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,188954,189919,-,,,,,,,SY84_00945,966,,
372,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,190186,191685,-,,,,,,,SY84_00950,1500,,
374,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,191781,192485,+,,,,,,,SY84_00955,705,,
376,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,192687,193832,-,,,,,,,SY84_00960,1146,,
378,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,194039,194728,+,,,,,,,SY84_00965,690,,
380,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,194722,195705,+,,,,,,,SY84_00970,984,,
382,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,195712,196362,-,,,,,,,SY84_00975,651,,
384,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,196435,197622,-,,,,,,,SY84_00980,1188,,
386,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,197895,198719,+,,,,,,,SY84_00985,825,,
388,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,198707,199759,+,,,,,,,SY84_00990,1053,,
390,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,199756,200964,+,,,,,,,SY84_00995,1209,,
392,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,201361,201630,-,,,,hypothetical protein,,,SY84_01000,270,,pseudo
393,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,201675,202547,-,,,,,,,SY84_01005,873,,
395,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,202619,203032,-,,,,,,,SY84_01010,414,,
397,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,203118,203690,-,,,,,,,SY84_01015,573,,
