# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	8518	9756	-	ANE42412.1			Clp protease ClpX	clpX		SU48_00035	1239	412	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	9753	10355	-							SU48_00040	603		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	9753	10355	-	ANE42413.1			Clp protease ClpP			SU48_00040	603	200	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	10583	12277	-							SU48_00045	1695		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	10583	12277	-	ANE42414.1			hydrolase			SU48_00045	1695	564	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	12794	13480	+							SU48_00050	687		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	12794	13480	+	ANE44656.1			transcriptional regulator			SU48_00050	687	228	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	13505	15907	+							SU48_00055	2403		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	13505	15907	+	ANE42415.1			histidine kinase			SU48_00055	2403	800	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	15916	16374	+							SU48_00060	459		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	15916	16374	+	ANE42416.1			chemotaxis protein CheY			SU48_00060	459	152	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	16627	17055	-							SU48_00065	429		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	16627	17055	-	ANE42417.1			hypothetical protein			SU48_00065	429	142	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	17482	18036	-							SU48_00070	555		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	17482	18036	-	ANE42418.1			HAD family hydrolase			SU48_00070	555	184	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	18265	19464	+							SU48_00075	1200		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	18265	19464	+	ANE42419.1			hypothetical protein			SU48_00075	1200	399	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	19671	20405	+							SU48_00080	735		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	19671	20405	+	ANE42420.1			transcriptional regulator			SU48_00080	735	244	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	20487	21986	-							SU48_00085	1500		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	20487	21986	-	ANE42421.1			amidohydrolase			SU48_00085	1500	499	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	22124	23158	+							SU48_00090	1035		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	22124	23158	+	ANE42422.1			response regulator			SU48_00090	1035	344	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	23288	25993	+							SU48_00095	2706		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	23288	25993	+	ANE42423.1			alanyl-tRNA synthetase			SU48_00095	2706	901	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	26046	26585	-							SU48_00100	540		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	26046	26585	-	ANE42424.1			hypothetical protein			SU48_00100	540	179	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	26582	26950	-							SU48_00105	369		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	26582	26950	-	ANE42425.1			MmcQ-like protein			SU48_00105	369	122	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	26978	27244	-							SU48_00110	267		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	26978	27244	-	ANE42426.1			hypothetical protein			SU48_00110	267	88	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	27316	28281	+							SU48_00115	966		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	27316	28281	+	ANE44657.1			metallophosphoesterase			SU48_00115	966	321	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	28405	29802	-							SU48_00120	1398		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	28405	29802	-	ANE42427.1			dienelactone hydrolase			SU48_00120	1398	465	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	30155	31027	-							SU48_00125	873		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	30155	31027	-	ANE42428.1			thiosulfate sulfurtransferase			SU48_00125	873	290	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	31169	31627	+							SU48_00130	459		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	31169	31627	+	ANE42429.1			cysteine desufuration protein SufE			SU48_00130	459	152	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	31769	32125	-							SU48_00135	357		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	31769	32125	-	ANE42430.1			hypothetical protein			SU48_00135	357	118	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	32195	32833	-							SU48_00140	639		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	32195	32833	-	ANE42431.1			hypothetical protein			SU48_00140	639	212	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	32830	33717	-							SU48_00145	888		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	32830	33717	-	ANE42432.1			hypothetical protein			SU48_00145	888	295	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	33925	35331	+							SU48_00150	1407		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	33925	35331	+	ANE42433.1			ribonuclease II			SU48_00150	1407	468	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	35531	35824	+							SU48_00155	294		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	35531	35824	+	ANE44658.1			hypothetical protein			SU48_00155	294	97	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	36204	37220	+							SU48_00160	1017		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	36204	37220	+	ANE44659.1			agmatine deiminase			SU48_00160	1017	338	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	37210	37791	+							SU48_00165	582		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	37210	37791	+	ANE42434.1			hypothetical protein			SU48_00165	582	193	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	37859	38266	+							SU48_00170	408		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	37859	38266	+	ANE42435.1			hypothetical protein			SU48_00170	408	135	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	38302	38946	-							SU48_00175	645		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	38302	38946	-	ANE42436.1			DSBA oxidoreductase			SU48_00175	645	214	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	39149	40042	+							SU48_00180	894		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	39149	40042	+	ANE42437.1			N-carbamoylputrescine amidase			SU48_00180	894	297	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	40076	40981	-							SU48_00185	906		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	40076	40981	-	ANE42438.1			hypothetical protein			SU48_00185	906	301	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	41251	42036	+							SU48_00190	786		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	41251	42036	+	ANE42439.1			enoyl-ACP reductase			SU48_00190	786	261	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	42100	43146	+							SU48_00195	1047		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	42100	43146	+	ANE42440.1			peptidase M42			SU48_00195	1047	348	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	43326	44894	-							SU48_00200	1569		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	43326	44894	-	ANE42441.1			FAD-dependent oxidoreductase			SU48_00200	1569	522	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	44891	46426	-					glpK		SU48_00205	1536		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	44891	46426	-	ANE42442.1			glycerol kinase	glpK		SU48_00205	1536	511	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	46638	46850	+							SU48_00210	213		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	46638	46850	+	ANE42443.1			hypothetical protein			SU48_00210	213	70	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	46947	47651	-							SU48_00215	705		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	46947	47651	-	ANE42444.1			hypothetical protein			SU48_00215	705	234	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	47888	48670	+							SU48_00220	783		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	47888	48670	+	ANE42445.1			enoyl-CoA hydratase			SU48_00220	783	260	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	48908	49732	+							SU48_00225	825		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	48908	49732	+	ANE42446.1			short-chain dehydrogenase			SU48_00225	825	274	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	49884	51275	+							SU48_00230	1392		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	49884	51275	+	ANE42447.1			D-alanyl-D-alanine carboxypeptidase			SU48_00230	1392	463	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	51553	52545	+							SU48_00235	993		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	51553	52545	+	ANE42448.1			UDP-glucose 4-epimerase			SU48_00235	993	330	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	52639	53307	-							SU48_00240	669		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	52639	53307	-	ANE44660.1			hypothetical protein			SU48_00240	669	222	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	53766	54923	-							SU48_00245	1158		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	53766	54923	-	ANE42449.1			hypothetical protein			SU48_00245	1158	385	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	55032	55901	-							SU48_00250	870		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	55032	55901	-	ANE42450.1			hypothetical protein			SU48_00250	870	289	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	55924	56949	-							SU48_00255	1026		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	55924	56949	-	ANE42451.1			cobalamin biosynthesis protein CobW			SU48_00255	1026	341	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	57121	58470	+							SU48_00260	1350		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	57121	58470	+	ANE42452.1			peptidase M20			SU48_00260	1350	449	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	58838	59533	+							SU48_00265	696		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	58838	59533	+	ANE42453.1			hypothetical protein			SU48_00265	696	231	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	59604	61010	-							SU48_00270	1407		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	59604	61010	-	ANE42454.1			RNA 2',3'-cyclic phosphate--5'-hydroxyl ligase			SU48_00270	1407	468	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	61299	61817	+							SU48_00275	519		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	61299	61817	+	ANE42455.1			hypothetical protein			SU48_00275	519	172	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	61841	62644	+							SU48_00280	804		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	61841	62644	+	ANE42456.1			hypothetical protein			SU48_00280	804	267	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	62651	63367	-							SU48_00285	717		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	62651	63367	-	ANE42457.1			short-chain dehydrogenase			SU48_00285	717	238	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	63399	64442	-							SU48_00290	1044		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	63399	64442	-	ANE42458.1			peptidase			SU48_00290	1044	347	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	64448	65383	-							SU48_00295	936		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	64448	65383	-	ANE44661.1			peptidase			SU48_00295	936	311	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	65703	66764	-							SU48_00300	1062		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	65703	66764	-	ANE42459.1			transcriptional regulator			SU48_00300	1062	353	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	66766	66963	-							SU48_00305	198		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	66766	66963	-	ANE42460.1			hypothetical protein			SU48_00305	198	65	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	66990	68216	+							SU48_00310	1227		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	66990	68216	+	ANE42461.1			transporter			SU48_00310	1227	408	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	68351	69157	+							SU48_00315	807		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	68351	69157	+	ANE42462.1			polyphosphate kinase			SU48_00315	807	268	
gene	tRNA	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	69306	69381	-							SU48_00320	76		
tRNA		GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	69306	69381	-				tRNA-Gly			SU48_00320	76		anticodon=GCC
gene	rRNA	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	69394	69510	-							SU48_00325	117		
rRNA		GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	69394	69510	-				5S ribosomal RNA			SU48_00325	117		
gene	rRNA	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	69594	72473	-							SU48_00330	2880		
rRNA		GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	69594	72473	-				23S ribosomal RNA			SU48_00330	2880		
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	72770	73237	-							SU48_00335	468		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	72770	73237	-	ANE42463.1			S-ribosylhomocysteinase			SU48_00335	468	155	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	73340	73861	+							SU48_00340	522		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	73340	73861	+	ANE42464.1			lipoprotein signal peptidase			SU48_00340	522	173	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	73931	74146	-							SU48_00345	216		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	73931	74146	-	ANE42465.1			50S ribosomal protein L28			SU48_00345	216	71	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	74381	74650	-							SU48_00350	270		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	74381	74650	-	ANE42466.1			transglycosylase			SU48_00350	270	89	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	75010	76050	+							SU48_00355	1041		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	75010	76050	+	ANE42467.1			threonine synthase			SU48_00355	1041	346	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	76151	77059	+							SU48_00360	909		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	76151	77059	+	ANE42468.1			serine kinase			SU48_00360	909	302	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	77127	79367	-							SU48_00365	2241		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	77127	79367	-	ANE42469.1			membrane protein			SU48_00365	2241	746	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	79729	79977	+							SU48_00370	249		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	79729	79977	+	ANE42470.1			hypothetical protein			SU48_00370	249	82	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	80020	80796	-							SU48_00375	777		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	80020	80796	-	ANE42471.1			amino acid ABC transporter ATP-binding protein			SU48_00375	777	258	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	80879	81784	+							SU48_00380	906		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	80879	81784	+	ANE42472.1			hypothetical protein			SU48_00380	906	301	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	81781	82149	+							SU48_00385	369		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	81781	82149	+	ANE42473.1			hypothetical protein			SU48_00385	369	122	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	82257	83081	+							SU48_00390	825		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	82257	83081	+	ANE42474.1			CDP-alcohol phosphatidyltransferase			SU48_00390	825	274	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	83116	83790	-							SU48_00395	675		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	83116	83790	-	ANE42475.1			hypothetical protein			SU48_00395	675	224	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	84007	85170	-							SU48_00400	1164		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	84007	85170	-	ANE44662.1			hypothetical protein			SU48_00400	1164	387	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	85288	86172	-							SU48_00405	885		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	85288	86172	-	ANE44663.1			glycosidase			SU48_00405	885	294	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	86357	87019	-							SU48_00410	663		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	86357	87019	-	ANE42476.1			hydrolase			SU48_00410	663	220	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	87048	87986	-							SU48_00415	939		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	87048	87986	-	ANE42477.1			DNA polymerase III			SU48_00415	939	312	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	88063	88815	-							SU48_00420	753		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	88063	88815	-	ANE42478.1			metallophosphoesterase			SU48_00420	753	250	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	88994	90091	+							SU48_00425	1098		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	88994	90091	+	ANE42479.1			DNA-binding protein			SU48_00425	1098	365	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	90102	90389	-							SU48_00430	288		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	90102	90389	-	ANE42480.1			hypothetical protein			SU48_00430	288	95	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	90438	91427	+							SU48_00435	990		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	90438	91427	+	ANE42481.1			NAD-dependent epimerase			SU48_00435	990	329	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	91627	92997	+							SU48_00440	1371		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	91627	92997	+	ANE44664.1			chromosomal replication initiation protein			SU48_00440	1371	456	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	93404	94486	+							SU48_00445	1083		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	93404	94486	+	ANE42482.1			DNA polymerase III subunit beta			SU48_00445	1083	360	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	94733	96001	+					eno		SU48_00450	1269		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	94733	96001	+	ANE42483.1			enolase	eno		SU48_00450	1269	422	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	96147	97598	+							SU48_00455	1452		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	96147	97598	+	ANE42484.1			pyruvate kinase			SU48_00455	1452	483	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	97872	99107	-							SU48_00460	1236		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	97872	99107	-	ANE42485.1			tyrosyl-tRNA synthetase			SU48_00460	1236	411	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	99668	100606	+							SU48_00465	939		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	99668	100606	+	ANE42486.1			hypothetical protein			SU48_00465	939	312	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	100618	101439	-							SU48_00470	822		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	100618	101439	-	ANE44665.1			pseudouridine synthase			SU48_00470	822	273	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	101594	102391	+							SU48_00475	798		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	101594	102391	+	ANE44666.1			peptidase M23			SU48_00475	798	265	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	102464	104206	-							SU48_00480	1743		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	102464	104206	-	ANE42487.1			hypothetical protein			SU48_00480	1743	580	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	104399	104659	+							SU48_00485	261		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	104399	104659	+	ANE44667.1			hypothetical protein			SU48_00485	261	86	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	104699	106108	-					fumC		SU48_00490	1410		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	104699	106108	-	ANE42488.1			fumarate hydratase	fumC		SU48_00490	1410	469	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	106413	107405	+							SU48_00495	993		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	106413	107405	+	ANE42489.1			pyridine nucleotide-disulfide oxidoreductase			SU48_00495	993	330	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	107482	108945	+							SU48_00500	1464		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	107482	108945	+	ANE42490.1			VanW			SU48_00500	1464	487	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	109027	109884	-							SU48_00505	858		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	109027	109884	-	ANE42491.1			chromosome partitioning protein ParB			SU48_00505	858	285	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	109868	110617	-							SU48_00510	750		
CDS	with_protein	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	109868	110617	-	ANE42492.1			chromosome partitioning protein			SU48_00510	750	249	
gene	protein_coding	GCA_001644565.1	Primary Assembly	chromosome		CP011387.1	110700	111437	-							SU48_00515	738		
