# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	9420	10187	+	ASN79606.1			tRNA (adenine-N(1))-methyltransferase			DFI_00040	768	255	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	10392	12152	-							DFI_00045	1761		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	10392	12152	-	ASN79607.1			ribonuclease Y			DFI_00045	1761	586	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	12398	12838	-							DFI_00050	441		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	12398	12838	-	ASN79608.1			50S ribosomal protein L9			DFI_00050	441	146	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	12850	13125	-							DFI_00055	276		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	12850	13125	-	ASN79609.1			30S ribosomal protein S18			DFI_00055	276	91	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	13172	14062	-							DFI_00060	891		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	13172	14062	-	ASN79610.1			single-stranded DNA-binding protein			DFI_00060	891	296	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	14217	14525	-							DFI_00065	309		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	14217	14525	-	ASN79611.1			30S ribosomal protein S6			DFI_00065	309	102	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	14664	15173	+							DFI_00070	510		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	14664	15173	+	ASN79612.1			hypothetical protein			DFI_00070	510	169	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	15170	15751	+							DFI_00075	582		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	15170	15751	+	ASN79613.1			hypothetical protein			DFI_00075	582	193	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	15748	16677	+							DFI_00080	930		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	15748	16677	+	ASN79614.1			GNAT family N-acetyltransferase			DFI_00080	930	309	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	16828	17811	-							DFI_00085	984		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	16828	17811	-	ASN79615.1			polysaccharide pyruvyl transferase CsaB			DFI_00085	984	327	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	17813	19639	-							DFI_00090	1827		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	17813	19639	-	ASN81903.1			hypothetical protein			DFI_00090	1827	608	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	19849	20472	-							DFI_00095	624		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	19849	20472	-	ASN81904.1			uridine kinase			DFI_00095	624	207	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	20517	21548	-							DFI_00100	1032		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	20517	21548	-	ASN79616.1			branched-chain amino acid dehydrogenase			DFI_00100	1032	343	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	21893	23242	+							DFI_00105	1350		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	21893	23242	+	ASN79617.1			hypothetical protein			DFI_00105	1350	449	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	23301	24248	-							DFI_00110	948		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	23301	24248	-	ASN79618.1			serine/threonine protein kinase			DFI_00110	948	315	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	24436	25569	-							DFI_00115	1134		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	24436	25569	-	ASN79619.1			peptide chain release factor 2			DFI_00115	1134	377	
gene	rRNA	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	26080	27583	+							DFI_00120	1504		
rRNA		GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	26080	27583	+				16S ribosomal RNA			DFI_00120	1504		
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	27682	28395	-							DFI_00125	714		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	27682	28395	-	ASN79620.1			ABC transporter			DFI_00125	714	237	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	28392	29348	-							DFI_00130	957		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	28392	29348	-	ASN79621.1			amino acid ABC transporter ATP-binding protein			DFI_00130	957	318	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	29345	30454	-							DFI_00135	1110		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	29345	30454	-	ASN81905.1			ABC transporter permease			DFI_00135	1110	369	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	30560	31462	-							DFI_00140	903		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	30560	31462	-	ASN79622.1			ABC transporter substrate-binding protein			DFI_00140	903	300	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	31599	31973	-							DFI_00145	375		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	31599	31973	-	ASN79623.1			DNA-binding protein			DFI_00145	375	124	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	32265	33038	-							DFI_00150	774		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	32265	33038	-	ASN79624.1			molybdopterin biosynthesis protein MoeB			DFI_00150	774	257	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	33115	33678	+							DFI_00155	564		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	33115	33678	+	ASN79625.1			hypothetical protein			DFI_00155	564	187	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	33675	35783	+							DFI_00160	2109		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	33675	35783	+	ASN79626.1			hypothetical protein			DFI_00160	2109	702	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	35834	36376	+							DFI_00165	543		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	35834	36376	+	ASN81906.1			3-octaprenyl-4-hydroxybenzoate carboxy-lyase			DFI_00165	543	180	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	36373	37068	+							DFI_00170	696		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	36373	37068	+	ASN79627.1			2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase			DFI_00170	696	231	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	37077	37922	+							DFI_00175	846		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	37077	37922	+	ASN81907.1			4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase			DFI_00175	846	281	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	38197	38667	+							DFI_00180	471		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	38197	38667	+	ASN81908.1			hypothetical protein			DFI_00180	471	156	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	38678	39856	+							DFI_00185	1179		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	38678	39856	+	ASN79628.1			hypothetical protein			DFI_00185	1179	392	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	39882	40811	-							DFI_00190	930		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	39882	40811	-	ASN79629.1			glucokinase			DFI_00190	930	309	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	40840	41124	-							DFI_00195	285		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	40840	41124	-	ASN79630.1			hypothetical protein			DFI_00195	285	94	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	41121	41576	-							DFI_00200	456		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	41121	41576	-	ASN79631.1			thioesterase			DFI_00200	456	151	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	41652	42038	+							DFI_00205	387		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	41652	42038	+	ASN79632.1			cell division protein FtsB			DFI_00205	387	128	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	42047	43363	-							DFI_00210	1317		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	42047	43363	-	ASN79633.1			thymidine phosphorylase			DFI_00210	1317	438	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	43409	44557	-							DFI_00215	1149		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	43409	44557	-	ASN79634.1			calcium/proton exchanger			DFI_00215	1149	382	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	44629	47751	-							DFI_00220	3123		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	44629	47751	-	ASN79635.1			error-prone DNA polymerase			DFI_00220	3123	1040	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	47762	48007	-							DFI_00225	246		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	47762	48007	-	ASN79636.1			hypothetical protein			DFI_00225	246	81	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	48009	49187	-							DFI_00230	1179		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	48009	49187	-	ASN79637.1			hypothetical protein			DFI_00230	1179	392	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	49184	49498	-							DFI_00235	315		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	49184	49498	-	ASN81909.1			peptidase S24, LexA repressor			DFI_00235	315	104	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	50009	50863	-							DFI_00240	855		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	50009	50863	-	ASN79638.1			metalloenzyme domain protein			DFI_00240	855	284	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	50957	53026	+							DFI_00245	2070		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	50957	53026	+	ASN79639.1			hypothetical protein			DFI_00245	2070	689	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	53498	55504	-							DFI_00250	2007		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	53498	55504	-	ASN79640.1			elongation factor G			DFI_00250	2007	668	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	55689	56960	+							DFI_00255	1272		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	55689	56960	+	ASN79641.1			serine/threonine protein phosphatase			DFI_00255	1272	423	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	57170	58018	+							DFI_00260	849		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	57170	58018	+	ASN81910.1			alpha/beta hydrolase			DFI_00260	849	282	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	58029	59129	+							DFI_00265	1101		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	58029	59129	+	ASN79642.1			peptidase			DFI_00265	1101	366	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	59144	59719	-							DFI_00270	576		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	59144	59719	-	ASN79643.1			hypothetical protein			DFI_00270	576	191	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	59852	60919	+							DFI_00275	1068		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	59852	60919	+	ASN79644.1			ABC transporter permease			DFI_00275	1068	355	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	60943	61665	+							DFI_00280	723		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	60943	61665	+	ASN79645.1			hemin ABC transporter ATP-binding protein			DFI_00280	723	240	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	61754	62764	+							DFI_00285	1011		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	61754	62764	+	ASN81911.1			pyridine nucleotide-disulfide oxidoreductase			DFI_00285	1011	336	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	62831	64198	+							DFI_00290	1368		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	62831	64198	+	ASN79646.1			hypothetical protein			DFI_00290	1368	455	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	64209	66692	-							DFI_00295	2484		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	64209	66692	-	ASN81912.1			primosomal protein N'			DFI_00295	2484	827	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	66796	67698	+							DFI_00300	903		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	66796	67698	+	ASN79647.1			EamA family transporter			DFI_00300	903	300	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	67730	69646	-							DFI_00305	1917		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	67730	69646	-	ASN79648.1			hypothetical protein			DFI_00305	1917	638	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	69651	71240	-							DFI_00310	1590		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	69651	71240	-	ASN79649.1			hypothetical protein			DFI_00310	1590	529	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	71237	71980	-							DFI_00315	744		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	71237	71980	-	ASN79650.1			dynein regulation protein LC7			DFI_00315	744	247	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	72122	73105	+							DFI_00320	984		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	72122	73105	+	ASN79651.1			hypothetical protein			DFI_00320	984	327	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	73152	74816	+							DFI_00325	1665		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	73152	74816	+	ASN81913.1			phytoene dehydrogenase			DFI_00325	1665	554	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	74803	76176	-							DFI_00330	1374		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	74803	76176	-	ASN81914.1			FAD-dependent oxidoreductase			DFI_00330	1374	457	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	76173	77249	-							DFI_00335	1077		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	76173	77249	-	ASN79652.1			family 2 glycosyl transferase			DFI_00335	1077	358	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	77246	77875	-							DFI_00340	630		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	77246	77875	-	ASN79653.1			1-acyl-sn-glycerol-3-phosphate acyltransferase			DFI_00340	630	209	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	77911	79416	-							DFI_00345	1506		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	77911	79416	-	ASN79654.1			lycopene cyclase			DFI_00345	1506	501	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	79413	80948	-							DFI_00350	1536		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	79413	80948	-	ASN79655.1			FAD-dependent oxidoreductase			DFI_00350	1536	511	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	81089	82081	-							DFI_00355	993		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	81089	82081	-	ASN79656.1			ketoacyl reductase			DFI_00355	993	330	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	82092	83270	-							DFI_00360	1179		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	82092	83270	-	ASN79657.1			glutathione-dependent formaldehyde dehydrogenase			DFI_00360	1179	392	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	83267	84031	-							DFI_00365	765		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	83267	84031	-	ASN81915.1			cyclase			DFI_00365	765	254	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	84327	86294	-							DFI_00370	1968		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	84327	86294	-	ASN79658.1			xenobiotic-transporting ATPase			DFI_00370	1968	655	
gene	tRNA	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	86352	86428	-							DFI_00375	77		
tRNA		GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	86352	86428	-				tRNA-Arg			DFI_00375	77		anticodon=CCT
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	86507	86953	-							DFI_00380	447		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	86507	86953	-	ASN79659.1			tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE			DFI_00380	447	148	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	87021	87314	+							DFI_00385	294		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	87021	87314	+	ASN79660.1			AsnC family transcriptional regulator			DFI_00385	294	97	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	87731	88147	+							DFI_00390	417		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	87731	88147	+	ASN79661.1			hypothetical protein			DFI_00390	417	138	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	88223	89203	+							DFI_00395	981		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	88223	89203	+	ASN79662.1			cobalamin biosynthesis protein CobW			DFI_00395	981	326	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	89238	89702	+							DFI_00400	465		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	89238	89702	+	ASN79663.1			esterase			DFI_00400	465	154	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	89926	90261	+							DFI_00405	336		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	89926	90261	+	ASN81916.1			hypothetical protein			DFI_00405	336	111	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	90359	92761	+							DFI_00410	2403		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	90359	92761	+	ASN79664.1			penicillin acylase family protein			DFI_00410	2403	800	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	92879	93478	+							DFI_00415	600		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	92879	93478	+	ASN79665.1			single-stranded DNA-binding protein			DFI_00415	600	199	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	93487	94260	+							DFI_00420	774		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	93487	94260	+	ASN79666.1			metallophosphoesterase			DFI_00420	774	257	
gene	tRNA	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	94339	94414	+							DFI_00425	76		
tRNA		GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	94339	94414	+				tRNA-Asp			DFI_00425	76		anticodon=GTC
gene	tRNA	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	94433	94508	+							DFI_00430	76		
tRNA		GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	94433	94508	+				tRNA-Phe			DFI_00430	76		anticodon=GAA
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	94558	95733	-							DFI_00435	1176		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	94558	95733	-	ASN79667.1			serine protease			DFI_00435	1176	391	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	95800	96582	+							DFI_00440	783		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	95800	96582	+	ASN79668.1			short-chain dehydrogenase			DFI_00440	783	260	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	96640	97791	+							DFI_00445	1152		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	96640	97791	+	ASN79669.1			phosphatase			DFI_00445	1152	383	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	97852	101934	-							DFI_00450	4083		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	97852	101934	-	ASN79670.1			ribonuclease R			DFI_00450	4083	1360	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	102262	103038	-							DFI_00455	777		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	102262	103038	-	ASN79671.1			exodeoxyribonuclease III			DFI_00455	777	258	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	103140	103448	+							DFI_00460	309		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	103140	103448	+	ASN79672.1			hypothetical protein			DFI_00460	309	102	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	103473	104093	-							DFI_00465	621		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	103473	104093	-	ASN79673.1			SAM-dependent methyltransferase			DFI_00465	621	206	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	104090	104401	-							DFI_00470	312		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	104090	104401	-	ASN79674.1			hypothetical protein			DFI_00470	312	103	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	104433	105779	-							DFI_00475	1347		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	104433	105779	-	ASN79675.1			acetyl-CoA carboxylase biotin carboxylase subunit			DFI_00475	1347	448	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	105916	106470	-							DFI_00480	555		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	105916	106470	-	ASN79676.1			acetyl-CoA carboxylase biotin carboxyl carrier protein subunit			DFI_00480	555	184	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	106766	107323	-							DFI_00485	558		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	106766	107323	-	ASN79677.1			elongation factor P			DFI_00485	558	185	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	107623	108369	+							DFI_00490	747		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	107623	108369	+	ASN79678.1			50S ribosomal protein L25/general stress protein Ctc			DFI_00490	747	248	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	108413	109534	-							DFI_00495	1122		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	108413	109534	-	ASN79679.1			hypothetical protein			DFI_00495	1122	373	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	109566	110003	+							DFI_00500	438		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	109566	110003	+	ASN81917.1			cupin			DFI_00500	438	145	
gene	pseudogene	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	110030	110452	+							DFI_00505	423		pseudo
